index,original_index,Error Text,True_Category,Prompt_Level,Ground Truth,Match_Activity,Match_Resource,Match_EndTime,Match_WorkerID,Extracted Info,latency_sec,prompt_tokens,completion_tokens,total_tokens,extraction_eval_results
361,553,"On March 12th, 2012 at 12:21, while performing Laser Marking on Machine 7, an issue arose during my shift (Worker ID: ID0998). The laser marking process proceeded normally initially, but as I observed the output, I noticed that the marks were not as crisp and clear as usual. Upon closer inspection, I found that the laser's focus was blurred, resulting in faint and indistinct markings on the part. I immediately stopped the machine to prevent further damage and reported the matter to my supervisor for investigation and necessary corrections. It is suspected that there might be an issue with the equipment's lubrication system, leading to the observed problem.",Lubrication Deficiency,1,"{""Activity"": ""Laser Marking"", ""Machine"": ""Machine 7"", ""Error time and Error date"": ""2012/03/12 12:21"", ""WorkerID"": ""ID0998""}",True,True,partial,True,"{
    ""Activity"": ""Laser Marking"",
    ""Machine"": ""Machine 7"",
    ""Error time and Error date"": ""2012/03/12 12:21"",
    ""WorkerID"": ""ID0998""
}",0.9915056999998342,592,68,660,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
73,103,"During the Turning & Milling process on Machine 8, an issue was encountered at 2012/03/08 16:38 by worker ID4219. The machine seemed to be functioning normally, but I noticed unusual fluctuations in the cutting speed and precision of the tool. This led to inconsistencies in the finished parts, with some having undercuts and others exhibiting rough surfaces. Upon closer inspection, it appeared that the air pressure supply was not maintaining the required consistent level, which was causing these anomalies. I immediately halted the process and alerted the supervisor about the issue, emphasizing the need for air pressure system maintenance to ensure the quality of the parts produced.",Air Pressure Error,1,"{""Activity"": ""Turning & Milling"", ""Machine"": ""Machine 8"", ""Error time and Error date"": ""2012/03/08 16:38"", ""WorkerID"": ""ID4219""}",True,True,partial,True,"{
    ""Activity"": ""Turning & Milling"",
    ""Machine"": ""Machine 8"",
    ""Error time and Error date"": ""2012/03/08 16:38"",
    ""WorkerID"": ""ID4219""
}",0.9982403999983944,587,69,656,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
374,582,"While conducting Turning & Milling operations on Machine 4 at 2012/03/29 06:40, I, worker ID4932, encountered an issue. The clamp holding the workpiece appeared to have malfunctioned during the process, causing the piece to move irregularly. This resulted in a series of inconsistencies in the machining pattern, with some sections being under-milled and others over-milled. Despite no alerts from the system, it was evident that the final product had severe deformities. I halted the process immediately and notified my supervisor to address the issue with the clamp mechanism on Machine 4.",Clamping Error,1,"{""Activity"": ""Turning & Milling"", ""Machine"": ""Machine 4"", ""Error time and Error date"": ""2012/03/29 06:40"", ""WorkerID"": ""ID4932""}",True,True,yes,True,"{
    ""Activity"": ""Turning & Milling"",
    ""Machine"": ""Machine 4"",
    ""Error time and Error date"": ""2012/03/29 06:40"",
    ""WorkerID"": ""ID4932""
}",0.9961855000001378,579,69,648,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
155,225,"During the Laser Marking activity on Machine 7, an issue arose at 2012/03/19 22:32. My worker ID is ID0997. As I was operating the machine, I noticed that the part being worked on seemed to be misaligned with the laser's focus point. This resulted in a faint and distorted marking on the component instead of the clear and precise one expected from the process. The system did not trigger any alerts, but the inconsistency was evident upon visual inspection. I paused the operation and reported the matter to the supervisor for immediate attention and correction.",Part Misalignment,1,"{""Activity"": ""Laser Marking"", ""Machine"": ""Machine 7"", ""Error time and Error date"": ""2012/03/19 22:32"", ""WorkerID"": ""ID0997""}",True,True,yes,True,"{
    ""Activity"": ""Laser Marking"",
    ""Machine"": ""Machine 7"",
    ""Error time and Error date"": ""2012/03/19 22:32"",
    ""WorkerID"": ""ID0997""
}",0.9873607999998057,575,68,643,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
104,149,"On the afternoon of 2012/03/07 at exactly 15:56, during the Round Grinding activity on Machine 3, an unexpected issue arose. Worker ID0420 was performing the task when he observed that the part in question was not properly aligned within its designated spot. As the grinding process progressed, it became evident that the roundness of the component was compromised, with one side significantly larger than the other. Despite the machine operating smoothly and no system alerts, the misalignment led to a clear deformation in the final product. The worker immediately halted the operation and alerted the supervisor for appropriate corrective measures.",Part Misalignment,1,"{""Activity"": ""Round Grinding"", ""Machine"": ""Machine 3"", ""Error time and Error date"": ""2012/03/07 15:56"", ""WorkerID"": ""ID0420""}",True,True,yes,True,"{
    ""Activity"": ""Round Grinding"",
    ""Machine"": ""Machine 3"",
    ""Error time and Error date"": ""2012/03/07 15:56"",
    ""WorkerID"": ""ID0420""
}",0.99471099999937,580,69,649,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
394,602,"In the Turning & Milling activity on Machine 5, an unexpected issue arose at 2012/03/26 09:11. My worker ID is ID4529. As I began my work, the machine suddenly lost power, causing all operations to cease abruptly. The lack of power resulted in a standstill of the machining process, leaving the workpiece untouched and unfinished. Despite attempts to restart the machine, it remained nonresponsive due to the power outage. I immediately reported the situation to my supervisor for further action and rectification of the power supply issue.",Power Outage,1,"{""Activity"": ""Turning & Milling"", ""Machine"": ""Machine 5"", ""Error time and Error date"": ""2012/03/26 09:11"", ""WorkerID"": ""ID4529""}",True,True,yes,True,"{
    ""Activity"": ""Turning & Milling"",
    ""Machine"": ""Machine 5"",
    ""Error time and Error date"": ""2012/03/26 09:11"",
    ""WorkerID"": ""ID4529""
}",0.9950699000000895,567,69,636,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
377,585,"On the night of 2012/03/30 at 00:00, while performing Turning & Milling operations on Machine 4, I, worker ID4932, encountered an issue. The machine initially appeared to be functioning correctly; however, as the process progressed, a significant increase in friction and heat was noticed. This led to an abnormal sound emanating from the machinery. As a result, the quality of the produced parts began to deteriorate, with rough edges and irregular shapes becoming apparent. It is suspected that this incident may be due to insufficient lubrication of the machine components. I immediately stopped the process and alerted the supervisor about the problem for further investigation and rectification measures.",Lubrication Deficiency,1,"{""Activity"": ""Turning & Milling"", ""Machine"": ""Machine 4"", ""Error time and Error date"": ""2012/03/30 00:00"", ""WorkerID"": ""ID4932""}",True,True,yes,True,"{
    ""Activity"": ""Turning & Milling"",
    ""Machine"": ""Machine 4"",
    ""Error time and Error date"": ""2012/03/30 00:00"",
    ""WorkerID"": ""ID4932""
}",1.0001001000000542,591,69,660,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
124,179,"On January 18, 2012, at approximately 09:56, while performing Turning & Milling operations on Machine 10, an issue arose during my shift as ID4641. As I was working, I noticed an unusual sound coming from the machine and a slowing down of its usual speed. The drill bit appeared to be wearing out prematurely, causing a jagged finish on the metal piece being processed. Upon closer inspection, I observed an excessive amount of friction and heat around the moving parts of the machine. This suggested that there might have been insufficient lubrication applied, leading to the observed symptoms. To prevent further damage to the equipment or the production of faulty parts, I immediately halted the process and reported the issue to my supervisor for investigation and appropriate corrective action.",Lubrication Deficiency,1,"{""Activity"": ""Turning & Milling"", ""Machine"": ""Machine 10"", ""Error time and Error date"": ""2012/01/18 09:56"", ""WorkerID"": ""ID4641""}",True,True,partial,True,"{
    ""Activity"": ""Turning & Milling"",
    ""Machine"": ""Machine 10"",
    ""Error time and Error date"": ""2012/01/18 09:56"",
    ""WorkerID"": ""ID4641""
}",1.0111554999984946,609,70,679,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
68,93,"During the Round Grinding activity on Machine 3, an unexpected issue arose at 2012/03/12 08:09. My worker ID is ID4445. As I was grinding a part, I noticed an unusual heat emanating from the machine. The temperature seemed to be rising rapidly despite the usual cooling system operation. Consequently, the grinding wheel began to vibrate uncontrollably and the part being worked on became too hot to touch. I immediately halted the process due to safety concerns and alerted the supervisor for an inspection of the cooling system. The machine was shut down, and the part had to be replaced due to excessive heating.",Cooling System Failure,1,"{""Activity"": ""Round Grinding"", ""Machine"": ""Machine 3"", ""Error time and Error date"": ""2012/03/12 08:09"", ""WorkerID"": ""ID4445""}",True,True,yes,True,"{
    ""Activity"": ""Round Grinding"",
    ""Machine"": ""Machine 3"",
    ""Error time and Error date"": ""2012/03/12 08:09"",
    ""WorkerID"": ""ID4445""
}",0.9941287999990891,584,69,653,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
450,718,"During the Turning & Milling process on Machine 9, an issue arose at 2012/02/22 03:56. My worker ID is ID4641. As I was engaged in the operation, I noticed that the air pressure seemed abnormal. The tool began to oscillate uncontrollably, and the cutting performance became erratic. The parts produced during this period displayed inconsistent dimensions and irregular surfaces. Despite the machine continuing to run without any system alerts, it was evident that the air pressure regulation was malfunctioning. I immediately halted the process, documented the issue, and notified the supervisor for further investigation and necessary repairs.",Air Pressure Error,1,"{""Activity"": ""Turning & Milling"", ""Machine"": ""Machine 9"", ""Error time and Error date"": ""2012/02/22 03:56"", ""WorkerID"": ""ID4641""}",True,True,yes,True,"{
    ""Activity"": ""Turning & Milling"",
    ""Machine"": ""Machine 9"",
    ""Error time and Error date"": ""2012/02/22 03:56"",
    ""WorkerID"": ""ID4641""
}",0.9940200000000914,579,69,648,"{""component"": ""Information Extraction (5)"", ""validation"": {""overall"": {""Activity"": {""acc"": 0.9958333333333333, ""correct"": 239, ""total"": 240}, ""Machine"": {""acc"": 0.9791666666666666, ""correct"": 235, ""total"": 240}, ""Error time and Error date"": {""acc"": 0.8791666666666667, ""correct"": 211, ""total"": 240}, ""WorkerID"": {""acc"": 0.8958333333333334, ""correct"": 215, ""total"": 240}, ""_parsed_ok"": 240, ""_parsed_total"": 240}, ""per_level"": {""1"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""2"": {""Activity"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Machine"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.925, ""correct"": 74, ""total"": 80}, ""WorkerID"": {""acc"": 1.0, ""correct"": 80, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}, ""3"": {""Activity"": {""acc"": 0.9875, ""correct"": 79, ""total"": 80}, ""Machine"": {""acc"": 0.9375, ""correct"": 75, ""total"": 80}, ""Error time and Error date"": {""acc"": 0.725, ""correct"": 58, ""total"": 80}, ""WorkerID"": {""acc"": 0.6875, ""correct"": 55, ""total"": 80}, ""_parsed_ok"": 80, ""_parsed_total"": 80}}}, ""timing"": {""avg_latency_sec"": 1.0030600283333342, ""sum_latency_sec"": 240.73440680000022, ""component_total_sec"": 240.75964759999988}, ""tokens"": {""avg_total_tokens"": 674.5583333333333, ""total_tokens"": 161894, ""entries"": 240}}"
