Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37
Case 1,Round Grinding,Machine 3,2012/02/14 15:27:00.000,ID4445,11,2012/02/14 15:27
Case 10,Turning & Milling,Machine 9,2012/01/17 11:05:00.000,ID3846,16,2012/01/17 11:05
Case 10,Turning & Milling,Machine 9,2012/01/17 20:01:00.000,ID4132,18,2012/01/17 20:01
Case 10,Turning & Milling,Machine 9,2012/01/17 23:43:00.000,ID4132,19,2012/01/17 23:43
Case 10,Turning & Milling,Machine 9,2012/01/18 06:32:00.000,ID4794,20,2012/01/18 06:32
Case 10,Turning & Milling,Machine 9,2012/01/18 07:24:00.000,ID3846,21,2012/01/18 07:24
Case 10,Turning & Milling,Machine 9,2012/01/18 17:55:00.000,ID4132,22,2012/01/18 17:55
Case 10,Turning & Milling,Machine 9,2012/01/18 20:04:00.000,ID4132,23,2012/01/18 20:04
Case 10,Turning & Milling,Machine 9,2012/01/19 06:29:00.000,ID4794,24,2012/01/19 06:29
Case 10,Turning & Milling,Machine 9,2012/01/19 18:09:00.000,ID4132,25,2012/01/19 18:09
Case 10,Turning & Milling,Machine 9,2012/01/19 20:08:00.000,ID4132,26,2012/01/19 20:08
Case 10,Turning & Milling,Machine 9,2012/01/20 05:10:00.000,ID4794,27,2012/01/20 05:10
Case 10,Turning & Milling,Machine 9,2012/01/22 06:34:00.000,ID4641,28,2012/01/22 06:34
Case 10,Turning & Milling,Machine 9,2012/01/22 07:13:00.000,ID3846,29,2012/01/22 07:13
Case 10,Turning & Milling,Machine 9,2012/01/22 17:47:00.000,ID3846,30,2012/01/22 17:47
Case 10,Laser Marking,Machine 7,2012/01/25 10:57:00.000,ID4794,32,2012/01/25 10:57
Case 10,Laser Marking,Machine 7,2012/01/25 12:54:00.000,ID4882,33,2012/01/25 12:54
Case 10,Laser Marking,Machine 7,2012/01/25 14:09:00.000,ID4882,34,2012/01/25 14:09
Case 10,Flat Grinding,Machine 11,2012/01/27 13:00:00.000,ID0998,35,2012/01/27 13:00
Case 10,Flat Grinding,Machine 11,2012/01/29 15:06:00.000,ID0998,36,2012/01/29 15:06
Case 10,Flat Grinding,Machine 11,2012/01/30 16:59:00.000,ID0998,37,2012/01/30 16:59
Case 100,Turning & Milling,Machine 8,2012/02/20 17:57:00.000,ID4219,40,2012/02/20 17:57
Case 100,Turning & Milling,Machine 8,2012/02/21 02:57:00.000,ID4529,41,2012/02/21 02:57
Case 100,Turning & Milling,Machine 8,2012/02/21 11:03:00.000,ID4219,42,2012/02/21 11:03
Case 100,Turning & Milling,Machine 8,2012/02/21 12:08:00.000,ID4219,43,2012/02/21 12:08
Case 100,Laser Marking,Machine 7,2012/03/11 11:06:00.000,ID0998,45,2012/03/11 11:06
Case 100,Flat Grinding,Machine 11,2012/03/11 12:45:00.000,ID0998,46,2012/03/11 12:45
Case 100,Lapping,Machine 1,2012/03/11 13:18:00.000,ID4882,47,2012/03/11 13:18
Case 100,Round Grinding,Machine 3,2012/03/13 10:41:00.000,ID4445,48,2012/03/13 10:41
Case 100,Round Grinding,Machine 3,2012/03/13 15:12:00.000,ID4445,49,2012/03/13 15:12
Case 101,Turning & Milling,Machine 8,2012/03/13 23:03:00.000,ID4219,55,2012/03/13 23:03
