Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time,Error Text,Extracted Info,Category
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43,"In the Turning & Milling activity on Machine 4, an issue arose at 2012/01/30 05:43. My worker ID is ID4932. As I was working, I noticed that the workpiece was not securely clamped during the process. This resulted in significant vibrations and erratic movement of the tool, causing an uneven finish on the component. The system did not issue any alerts, but the part showed clear signs of deformation. I immediately stopped the machine to prevent further damage and reported the incident to my supervisor for review and corrective measures.","{
""Activity"": ""Turning & Milling"",
""Machine"": ""Machine 4"",
""Error time and Error date"": ""2012/01/30 05:43"",
""WorkerID"": ""ID4932""
}",Part Misalignment
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21,"On January 30, 2012, at 07:21 during the Turning & Milling activity on Machine 4, an issue arose. I am worker ID4167 who experienced this anomaly. The machine functioned normally initially; however, as the process progressed, it became evident that the clamped workpiece wasn't securely fastened. This led to significant vibrations during machining, which affected the precision of the operation. Consequently, the final product displayed a noticeable asymmetry and rough edges. Although there were no system alerts, the visible deformity on the piece indicated an error in the clamping process. To prevent further complications, I stopped the process immediately and notified my supervisor about the situation.","{
""Activity"": ""Turning & Milling"",
""Machine"": ""Machine 4"",
""Error time and Error date"": ""2012/01/30 07:21"",
""WorkerID"": ""ID4167""
}",Part Misalignment
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58,,,
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15,,,
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20,"The logbook entry pertains to the Turning & Milling activity that took place on the 5th of March 2012, around nine forty-one. I was at the controls of the fourth machine with operator ID 4-9-3-2. The temperature in the shop was comfortable, hovering just above seventeen degrees Celsius, and a fresh batch of parts was ready for processing. Everything seemed normal until I noticed an unusual grinding sound emanating from the machine. Upon closer inspection, I discovered that the cutting tool was visibly heating up and producing more friction than usual. The resulting part had evident surface defects, particularly noticeable rough spots on the edges.

As the issue worsened, I decided to halt the process and bring it to the attention of the supervisor. This unexpected incident suggests that there might have been a problem with the lubrication system, but further investigation is needed to confirm this hypothesis.","{
    ""Activity"": ""Lapping"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 09:38"",
    ""WorkerID"": ""ID4882""
}",Lubrication Deficiency
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38,"During the Turning & Milling operation on Machine 4, I encountered an issue at 2012/03/22 07:57. My worker ID is ID4932. As I was working, I noticed that there was an unusual amount of friction and heat emanating from the machine. The noise produced by the operation also became increasingly louder. Eventually, the cutting tool began to vibrate excessively, causing uneven cuts on the workpiece. Despite no alerts from the system, the overall quality of the parts being produced significantly deteriorated. I immediately stopped the process and alerted the supervisor about the issue, as continued operation could potentially lead to further damage to both the machine and the components we were producing.","{
    ""Activity"": ""Lapping"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 09:38"",
    ""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37,"During the Round Grinding activity on Machine 3, an issue arose at 2012/02/14 13:37. The worker ID involved is ID4445. As I was carrying out the routine process, I noticed that the air pressure seemed unusually low, affecting the efficiency of the grinding wheels. This led to inconsistent results in the rounded edges of the parts being produced. Despite normal readings on the machine's gauges, there was a perceptible decrease in the speed and quality of production. The final product had visible rough spots and inconsistencies that were not typical of our usual output. I halted the process to address this issue and alerted the supervisor for necessary adjustments to the air pressure system.","{
""Activity"": ""Round Grinding"",
""Machine"": ""Machine 3"",
""Error time and Error date"": ""2012/02/14 13:37"",
""WorkerID"": ""ID4445""
}",Part Misalignment
