model,n_rows_in_file,processed_instances,total_expected,processed,correct,wrong,missing,pipeline_accuracy,correct_L1,correct_L2,correct_L3,assigned_filter,assigned_embedding,assigned_llm,unmatched,correct_filter,correct_embedding,correct_llm,total_avg_latency_sec,total_sum_latency_sec,total_sum_latency_sec_norm,total_avg_tokens,total_sum_tokens,total_sum_tokens_norm,ex_acc_activity,ex_acc_machine,ex_acc_time,ex_acc_worker,ex_all_correct,ex_all_correct_L1,ex_all_correct_L2,ex_all_correct_L3,ex_L1_activity,ex_L1_machine,ex_L1_time,ex_L1_worker,ex_L2_activity,ex_L2_machine,ex_L2_time,ex_L2_worker,ex_L3_activity,ex_L3_machine,ex_L3_time,ex_L3_worker,cls_entries,cls_accuracy_raw,cls_accuracy_norm,ex_sum_tokens,cls_sum_tokens,match_sum_tokens,ex_sum_tokens_norm,cls_sum_tokens_norm,match_sum_tokens_norm,ex_avg_tokens,cls_avg_tokens,match_avg_tokens,ex_sum_time_sec,cls_sum_time_sec,match_sum_time_sec,ex_sum_time_sec_norm,cls_sum_time_sec_norm,match_sum_time_sec_norm,ex_avg_time_sec,cls_avg_time_sec,match_avg_time_sec
Deep1,240,240,240,240,225,15,0,0.9375,79,75,71,199,29,2,10,199,24,2,11.714156982500024,2811.397675800006,2811.397675800006,1862.6875,447045.0,447045.0,0.9916666666666667,0.9875,0.875,0.9708333333333333,204,79,74,51,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.975,0.9625,0.7125,0.9125,240.0,0.8291666666666667,0.8291666666666667,238190.0,206781.0,2074.0,238190.0,206781.0,2074.0,992.4583333333334,861.5875,8.641666666666667,1242.3176569000057,1312.882364400015,256.1976544999852,1242.3176569000057,1312.882364400015,256.1976544999852,5.17632357041669,5.470343185000062,1.0674902270832718
Deep2,240,240,240,240,225,15,0,0.9375,79,75,71,199,27,8,6,199,22,4,11.572731550833506,2777.4555722000414,2777.4555722000414,1881.0,451440.0,451440.0,0.9916666666666667,0.9958333333333333,0.8791666666666667,0.9708333333333333,205,79,74,52,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.975,0.9875,0.725,0.9125,240.0,0.8291666666666667,0.8291666666666667,241574.0,202323.0,7543.0,241574.0,202323.0,7543.0,1006.5583333333333,843.0125,31.429166666666667,1277.4519702999978,1255.9810674000437,244.0225345,1277.4519702999978,1255.9810674000437,244.0225345,5.322716542916657,5.233254447500182,1.0167605604166667
Deep3,240,240,240,240,225,15,0,0.9375,80,75,70,197,29,6,8,197,25,3,11.890488032083324,2853.717127699998,2853.717127699998,1874.1625,449799.0,449799.0,0.9958333333333333,0.9833333333333333,0.875,0.9666666666666667,203,79,73,51,1.0,1.0,0.9875,1.0,1.0,0.9875,0.925,1.0,0.9875,0.9625,0.7125,0.9,240.0,0.8166666666666667,0.8166666666666667,235343.0,207795.0,6661.0,235343.0,207795.0,6661.0,980.5958333333333,865.8125,27.754166666666666,1201.9805344999995,1357.5972435999995,294.13934959999915,1201.9805344999995,1357.5972435999995,294.13934959999915,5.008252227083331,5.656655181666665,1.2255806233333297
Deep4,240,240,240,240,224,16,0,0.9333333333333333,79,75,70,200,27,4,9,200,22,2,11.561630892083375,2774.79141410001,2774.79141410001,1849.025,443766.0,443766.0,0.9916666666666667,0.9916666666666667,0.8791666666666667,0.9708333333333333,205,79,74,52,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.975,0.975,0.725,0.9125,240.0,0.8125,0.8125,233826.0,206397.0,3543.0,233826.0,206397.0,3543.0,974.275,859.9875,14.7625,1183.781445900012,1339.8700330999977,251.1399351000008,1183.781445900012,1339.8700330999977,251.1399351000008,4.93242269125005,5.582791804583324,1.0464163962500033
Deep5,240,240,240,240,225,15,0,0.9375,79,76,70,200,28,3,9,200,23,2,11.433275398749993,2743.9860956999983,2743.9860956999983,1851.05,444252.0,444252.0,0.9958333333333333,0.9958333333333333,0.8833333333333333,0.9708333333333333,205,79,74,52,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.9875,0.7375,0.9125,240.0,0.8083333333333333,0.8083333333333333,236213.0,203236.0,4803.0,236213.0,203236.0,4803.0,984.2208333333333,846.8166666666667,20.0125,1212.0980926999964,1301.4109699000014,230.4770331000003,1212.0980926999964,1301.4109699000014,230.4770331000003,5.050408719583318,5.422545707916672,0.9603209712500013
Deep6,240,240,240,240,225,15,0,0.9375,79,75,71,196,31,8,5,196,25,4,12.163181777500052,2919.1636266000123,2919.1636266000123,1914.7708333333333,459545.0,459545.0,0.9958333333333333,0.9916666666666667,0.8791666666666667,0.9541666666666667,203,78,74,51,1.0,1.0,0.9875,0.9875,1.0,1.0,0.925,1.0,0.9875,0.975,0.725,0.875,240.0,0.825,0.825,239216.0,209016.0,11313.0,239216.0,209016.0,11313.0,996.7333333333333,870.9,47.1375,1248.1108780000031,1372.6118779000099,298.44087069999955,1248.1108780000031,1372.6118779000099,298.44087069999955,5.20046199166668,5.719216157916708,1.2435036279166647
Deep7,240,240,240,240,226,14,0,0.9416666666666667,79,75,72,200,27,6,7,200,23,3,11.626428642916688,2790.342874300005,2790.342874300005,1861.3083333333334,446714.0,446714.0,0.9916666666666667,0.9875,0.8875,0.9708333333333333,205,79,74,52,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.975,0.9625,0.75,0.9125,240.0,0.825,0.825,237012.0,202315.0,7387.0,237012.0,202315.0,7387.0,987.55,842.9791666666666,30.779166666666665,1229.6360365000073,1307.8476191999953,252.85921860000212,1229.6360365000073,1307.8476191999953,252.85921860000212,5.123483485416697,5.44936507999998,1.0535800775000088
Deep8,240,240,240,240,226,14,0,0.9416666666666667,79,75,72,201,26,5,8,201,23,2,11.401254762083234,2736.301142899976,2736.301142899976,1848.375,443610.0,443610.0,0.99581589958159,0.9874476987447699,0.891213389121339,0.9623430962343096,205,79,73,53,1.0,1.0,0.9875,1.0,1.0,1.0,0.9367088607594937,0.9873417721518988,0.9875,0.9625,0.75,0.9,240.0,0.8,0.8,237157.0,200767.0,5686.0,237157.0,200767.0,5686.0,988.1541666666667,836.5291666666667,23.691666666666666,1223.7416578999873,1289.1654842999887,223.39400069999988,1223.7416578999873,1289.1654842999887,223.39400069999988,5.098923574583281,5.371522851249953,0.9308083362499995
GPT1,240,240,240,240,225,15,0,0.9375,79,75,71,195,34,5,6,195,29,1,20.591814406249977,4942.035457499995,4942.035457499995,1713.8291666666667,411319.0,411319.0,0.975,0.9958333333333333,0.8833333333333333,0.9791666666666666,202,78,70,54,0.9875,1.0,0.9875,1.0,0.95,1.0,0.925,1.0,0.9875,0.9875,0.7375,0.9375,240.0,0.8416666666666667,0.8416666666666667,255433.0,152306.0,3580.0,255432.99999999997,152306.0,3580.0,1064.3041666666666,634.6083333333333,14.916666666666666,3434.324884000001,1307.2798820000053,200.43069149998882,3434.324884000001,1307.2798820000053,200.43069149998882,14.30968701666667,5.446999508333355,0.8351278812499534
GPT2,240,240,240,240,226,14,0,0.9416666666666667,80,75,71,192,36,11,1,192,31,3,4.9682163925000715,1192.3719342000172,1192.3719342000172,1724.5041666666666,413881.0,413881.0,0.9666666666666667,0.9958333333333333,0.875,0.9666666666666667,199,76,71,52,0.9625,1.0,0.9875,1.0,0.9625,1.0,0.925,1.0,0.975,0.9875,0.7125,0.9,240.0,0.875,0.875,254626.0,151547.0,7708.0,254626.0,151547.0,7708.0,1060.9416666666666,631.4458333333333,32.11666666666667,713.6007237,290.52269650002563,188.2485139999917,713.6007237,290.52269650002563,188.2485139999917,2.97333634875,1.2105112354167735,0.7843688083332988
